time,open,high,low,close,volume
2020-03-18 08:00:00,1.20551,1.21296,1.14515,1.15803,174594
2020-03-19 08:00:00,1.15777,1.17927,1.14190,1.14653,188137
2020-03-20 08:00:00,1.14652,1.19333,1.14098,1.15990,168903
2020-03-23 08:00:00,1.16745,1.17135,1.14463,1.15283,171688
2020-03-24 08:00:00,1.15283,1.17989,1.14749,1.17341,167644
2020-03-25 08:00:00,1.17342,1.19730,1.16384,1.18781,141114
2020-03-26 08:00:00,1.18781,1.22289,1.17761,1.21547,153930
2020-03-27 08:00:00,1.21547,1.24852,1.21301,1.24744,151946
2020-03-30 08:00:00,1.24174,1.24668,1.23169,1.24171,110477
2020-03-31 08:00:00,1.24043,1.24726,1.22436,1.24163,124197
2020-04-01 08:00:00,1.24219,1.24382,1.23299,1.23730,93664
2020-04-02 08:00:00,1.23730,1.24750,1.23496,1.23925,95238
2020-04-03 08:00:00,1.23953,1.24058,1.22049,1.22692,85528
2020-04-06 08:00:00,1.22204,1.23264,1.22095,1.22291,80623
2020-04-07 08:00:00,1.22284,1.23839,1.21645,1.23297,84701
2020-04-08 08:00:00,1.23295,1.24196,1.22877,1.23808,63135
2020-04-09 08:00:00,1.23749,1.24832,1.23600,1.24525,76642
2020-04-10 08:00:00,1.24492,1.24865,1.24325,1.24341,21062
2020-04-13 08:00:00,1.24536,1.25365,1.24490,1.25002,61683
2020-04-14 08:00:00,1.25002,1.26471,1.24896,1.26233,110741
2020-04-15 08:00:00,1.26120,1.26303,1.24362,1.25105,105125
2020-04-16 08:00:00,1.25108,1.25273,1.24078,1.24551,108131
2020-04-17 08:00:00,1.24550,1.25223,1.24064,1.25058,103885
2020-04-20 08:00:00,1.24916,1.24998,1.24160,1.24321,85781
2020-04-21 08:00:00,1.24319,1.24457,1.22470,1.22879,123399
2020-04-22 08:00:00,1.22772,1.23856,1.22741,1.23321,92136
2020-04-23 08:00:00,1.23321,1.24147,1.23074,1.23434,113842
2020-04-24 08:00:00,1.23432,1.23769,1.22977,1.23659,89239
2020-04-27 08:00:00,1.23614,1.24543,1.23594,1.24282,78707
2020-04-28 08:00:00,1.24259,1.25178,1.24034,1.24229,68288
2020-04-29 08:00:00,1.24201,1.24849,1.23886,1.24691,65500
2020-04-30 08:00:00,1.24653,1.26426,1.24289,1.25900,78636
2020-05-01 08:00:00,1.25891,1.25998,1.24827,1.24926,53973
2020-05-04 08:00:00,1.24823,1.24865,1.24050,1.24420,52665
2020-05-05 08:00:00,1.24422,1.24834,1.24202,1.24331,56872
2020-05-06 08:00:00,1.24323,1.24499,1.23348,1.23390,52422
2020-05-07 08:00:00,1.23388,1.24181,1.22658,1.23522,64340
2020-05-08 08:00:00,1.23525,1.24669,1.23384,1.24076,47377
2020-05-11 08:00:00,1.23952,1.24372,1.22828,1.23318,56439
2020-05-12 08:00:00,1.23294,1.23771,1.22550,1.22576,58582
2020-05-13 08:00:00,1.22563,1.23396,1.22099,1.22231,67905
2020-05-14 08:00:00,1.22180,1.22414,1.21654,1.22228,63126
2020-05-15 08:00:00,1.22216,1.22389,1.21009,1.21020,64170
2020-05-18 08:00:00,1.20852,1.22274,1.20739,1.21937,60389
2020-05-19 08:00:00,1.21932,1.22961,1.21837,1.22502,57938
2020-05-20 08:00:00,1.22498,1.22874,1.22211,1.22363,52724
